,rcod_persona,rcod_hogar,rmujer,r6,lnr6,rmu,rneduca,r3,redad,redadsq,rDpto,rpareja,reduca,rpobre,rmiembro,rgasto
4215,0086840731101,00868407311,0,1157.8333333333333,7.054305721464826,0,Univ.,1,39,1521,Pasco,1,14.0,0,3,602.1111111111111
4216,0086840951101,00868409511,0,386.25,5.956484828211956,0,secundaria,1,56,3136,Pasco,1,11.0,0,6,455.72222222222223
4217,0086950091101,00869500911,0,825.1666666666666,6.715585386133368,0,secundaria,1,38,1444,Pasco,1,8.0,1,5,207.5666666666667
4219,0086950241101,00869502411,0,579.5833333333334,6.362309454569543,0,primaria,1,41,1681,Pasco,0,0.0,0,1,343.3333333333333
4220,0086950291101,00869502911,0,864.1666666666666,6.761765651435573,0,primaria,1,59,3481,Pasco,1,2.0,1,5,277.46666666666664
4223,0086961161101,00869611611,0,691.1666666666666,6.538380991018326,0,secundaria,1,62,3844,Pasco,1,11.0,0,5,421.59999999999997
4224,0086961191101,00869611911,1,68.0,4.219507705176107,0,primaria,1,58,3364,Pasco,0,0.0,0,1,854.8333333333334
4225,0086961291101,00869612911,0,391.4166666666667,5.969772636238995,0,secundaria,1,35,1225,Pasco,1,11.0,1,6,238.6527777777778
4226,0086961321101,00869613211,0,754.1666666666666,6.625613386905972,0,secundaria,1,35,1225,Pasco,1,7.0,1,5,237.6
4229,0086980301101,00869803011,0,2039.0,7.620214770574455,0,tecnica,1,64,4096,Pasco,1,16.0,0,2,631.5416666666666
4231,0086980561101,00869805611,0,1453.0,7.2813856635702825,0,Univ.,1,40,1600,Pasco,1,16.0,0,4,349.25
4232,0086980631101,00869806311,0,124.33333333333333,4.822966130975706,0,primaria,1,65,4225,Pasco,0,6.0,0,1,355.25
